Number,Easting,Northing,Elevation,Code
2781,478981.0448,1849494.651,313.5019,SP
2782,478977.8035,1849490.938,313.4263,SP
2783,478973.0878,1849488.252,313.3821,SP
2784,478970.7395,1849488.475,313.2116,SP
2785,478971.1304,1849488.629,313.7888,WL
2786,478966.6361,1849479.035,315.6179,EOK
2787,478964.7936,1849478.3,315.5471,SP
2788,478958.6612,1849475.919,315.9097,SP
2789,478955.0868,1849473.672,316.5247,SP
2790,480797.6379,1850769.114,326.7601,PA0.600
2791,480797.4949,1850769.162,326.13,INV
2792,480797.039,1850769.274,325.7206,SP
2793,480804.4404,1850766.341,326.2423,SP
2794,480803.5794,1850766.374,326.224,INV
2795,480803.3918,1850766.497,326.8824,PA0.600
2796,480739.04,1850571.031,324.6867,PA0.600
2797,480739.3091,1850571.14,324.1868,INV
2798,480739.8451,1850571.253,324.2635,SP
2799,480733.0148,1850570.686,324.7344,PA0.600
2800,480732.9142,1850570.638,324.2244,INV
2801,480732.3923,1850570.681,324.1317,SP
2802,480395.2716,1850012.123,317.3978,PA0.600
2803,480395.8923,1850011.812,316.9873,INV
2804,480396.3991,1850011.786,316.9305,SP
2805,480389.7726,1850015.973,317.3434,PA0.600
2806,480389.6468,1850015.996,316.7858,INV
2807,480389.201,1850016.09,316.7864,SP
2808,479683.6328,1849294.865,323.0233,PA-1.00
2809,479683.4645,1849294.974,322.147,INV
2810,479683.3787,1849295.281,322.2515,SP
2811,479685.2271,1849289.379,322.8937,PA-1.00
2812,479685.3289,1849289.521,321.7976,INV
2813,479685.3654,1849289.256,321.7418,SP
2814,479360.3802,1849079.946,319.0091,SP
2815,479368.059,1849066.254,318.8699,SP
2816,479373.5564,1849066.888,319.109,SP
2817,479374.7975,1849054.847,318.5326,SP
2818,479378.5101,1849040.751,318.9042,SP
2819,479385.501,1849042.013,319.5347,SP
2820,479382.9734,1849032.446,319.3204,SP
2821,479385.7554,1849021.346,319.2594,SP
2822,479388.01,1849017.247,318.9724,EOK
2823,479424.6493,1848983.891,318.8841,SP
2824,479444.0462,1848970.986,322.6048,SP
2825,479441.4445,1848959.43,325.2963,SP
2826,479451.5034,1848952.73,328.1641,SP
2827,479459.0642,1848949.693,329.6756,SP
2828,479471.0786,1848964.662,330.3109,SP
2829,479484.948,1848943.713,335.553,SP
2830,479479.4045,1848933.998,334.976,SP
2831,479507.5532,1848926.448,340.6255,SP
2832,479523.5298,1848909.259,343.764,SP
2833,479550.8161,1848895.209,349.4142,SP
2834,479599.8009,1848852.741,358.9118,SP
2835,479604.4176,1848844.849,359.4887,SP
2836,479613.1894,1848826.975,357.5073,SP
2837,479623.1441,1848812.967,350.3796,SP
2838,479653.9985,1848802.228,347.1398,SP
2839,479679.2128,1848811.172,359.8353,SP
2840,479708.474,1848824.087,371.2857,SP
2841,479746.9912,1848835.879,381.799,SP
2842,479781.0555,1848849.175,373.3172,SP
2843,479812.5049,1848854.457,362.3925,SP
2844,479839.3753,1848863.44,355.9088,SP
2845,479861.7463,1848876.798,348.4352,SP
2846,479892.7528,1848887.143,347.0187,SP
